"cohort","mean","kin"
1942,7.29276092768602,"nephews/nieces"
1943,7.19935014415817,"nephews/nieces"
1944,7.18087615310765,"nephews/nieces"
1945,7.27206356889319,"nephews/nieces"
1946,7.50256707353617,"nephews/nieces"
1947,7.64446256202756,"nephews/nieces"
1948,7.82785906989338,"nephews/nieces"
1949,7.94764878955247,"nephews/nieces"
1950,8.10389805097451,"nephews/nieces"
1951,8.13212052555004,"nephews/nieces"
1952,8.2320499820091,"nephews/nieces"
1953,8.2673683074266,"nephews/nieces"
1954,8.31586941711247,"nephews/nieces"
1955,8.34676183957498,"nephews/nieces"
1956,8.30826072099778,"nephews/nieces"
1957,8.26729549659384,"nephews/nieces"
1958,8.22456151663657,"nephews/nieces"
1959,8.20117915885232,"nephews/nieces"
1960,8.15522529679156,"nephews/nieces"
1961,8.08086452858522,"nephews/nieces"
1962,7.95269249601516,"nephews/nieces"
1963,7.79728478256586,"nephews/nieces"
1964,7.61150382404851,"nephews/nieces"
1965,7.40686619400696,"nephews/nieces"
1966,7.13397511954841,"nephews/nieces"
1967,6.93653060667534,"nephews/nieces"
1968,6.78279904655348,"nephews/nieces"
1969,6.68935259606622,"nephews/nieces"
1970,6.5571349585323,"nephews/nieces"
1971,6.38921072737647,"nephews/nieces"
1972,6.27373853098713,"nephews/nieces"
1973,6.12332094027344,"nephews/nieces"
1974,6.01931123589922,"nephews/nieces"
1975,5.89966537531799,"nephews/nieces"
1976,5.81182921528637,"nephews/nieces"
1977,5.71985718522574,"nephews/nieces"
1978,5.62480312184113,"nephews/nieces"
1979,5.55190172079358,"nephews/nieces"
1980,5.35759721285683,"nephews/nieces"
1981,5.17394672339638,"nephews/nieces"
1982,5.0023752692554,"nephews/nieces"
1983,4.81323857629508,"nephews/nieces"
1984,4.55029646757172,"nephews/nieces"
1985,4.33551773604591,"nephews/nieces"
1986,3.95034450983267,"nephews/nieces"
1987,3.56847046392067,"nephews/nieces"
1988,3.23541416680052,"nephews/nieces"
1989,2.8890619875369,"nephews/nieces"
1990,2.59573509280595,"nephews/nieces"
1991,2.3216801683235,"nephews/nieces"
1992,2.04335669133981,"nephews/nieces"
1993,1.79398923658137,"nephews/nieces"
1994,1.53453286169215,"nephews/nieces"
1995,1.3368081708897,"nephews/nieces"
1996,1.15329037297403,"nephews/nieces"
1997,1.00931978143573,"nephews/nieces"
1998,0.900221805937044,"nephews/nieces"
1999,0.780649121994162,"nephews/nieces"
2000,0.695028982565353,"nephews/nieces"
2001,0.577509366437399,"nephews/nieces"
2002,0.478952640777527,"nephews/nieces"
2003,0.407085836556663,"nephews/nieces"
2004,0.33782404366062,"nephews/nieces"
2005,0.278594680668797,"nephews/nieces"
2006,0.229320806042425,"nephews/nieces"
2007,0.190939869343379,"nephews/nieces"
2008,0.164724586177873,"nephews/nieces"
2009,0.131013277939952,"nephews/nieces"
2010,0.107013808518345,"nephews/nieces"
2011,0.0885045406836125,"nephews/nieces"
2012,0.066771052678941,"nephews/nieces"
2013,0.0537292361030443,"nephews/nieces"
2014,0.0403936828451736,"nephews/nieces"
2015,0.0344557283954918,"nephews/nieces"
2016,0.0254077209788677,"nephews/nieces"
2017,0.0215353851504086,"nephews/nieces"
1932,0.366919678964723,"siblings"
1933,0.718668349822388,"siblings"
1934,0.896117949411605,"siblings"
1935,1.01604605585497,"siblings"
1936,1.11139885001975,"siblings"
1937,1.19016320052094,"siblings"
1938,1.2742428708275,"siblings"
1939,1.34791194947139,"siblings"
1940,1.43576851193331,"siblings"
1941,1.48065033203573,"siblings"
1942,1.47870748212298,"siblings"
1943,1.47750675026315,"siblings"
1944,1.49484493050048,"siblings"
1945,1.53256090674411,"siblings"
